Case Number,Context,Award Summary,Year,Nature of the Award,Seat (Town),Source,ID Number,Themes Link,Jurisdictions Link,Court Decisions Link,Arbitral Institution Link,CoLD ID,Arbitral Provisions
13641,"Shareholders' agreement between an American company and a German company. ","Given that the relevant events took place in Germany, and that the fiduciary duties at issue here involve the duties of shareholders in a German corporation, the Tribunal finds that German law has the ""greater interest"" in being applied here.",2007,Interim,"Montreal, Canada",ICC International Court of Arbitration Bulletin Vol. 25 No. 1; 56; 2014; Interim Award in Case 13641,51,1,1,0,1,AA-51,0
NA,The dispute concerns a sales and purchase contract between an Indian purchaser (Claimant) and a Turkish seller (Defendant). Claimant terminated the contract on account of Defendant's failure to supply the contracted quantity in accordance with the contract specifications. Defendant argued that the termination was invalid.,Determines that the law applicable to the Agreement executed between Claimant and Defendant on 9 November 1995 is Turkish law. Turkish law was found by the majority of the Arbitral Tribunal to have the closest connection with the Agreement,2002,Interim,The Netherlands (?),NA,5,1,1,0,1,AA-5,0
6476,"Sales contract between a Transkei buyer (Claimant) and an Austrian seller (Defendant). ","Application of Swiss conflict rules, Swiss Federal Law on the International Sale of Goods, Art. 116, 176, 187 / Art. 3 of the Hague Convention of June 1955 applies only in the absence of a choice by the parties. ",1996,Final,"Zürich, Switzerland","Bulletin de la Cour internationale d'arbitrage de la CCI, Vol. 7 N° 1,  87, 1996",3,1,1,0,1,AA-3,0
19/03149,"Admissibility of the direct action brought by the freight forwarder against the insurer of a German carrier whose liability was sought for  the theft of goods during transport entrusted to its subcontractor under a contract of international carriage by road subject to the Convention on the Contract for the International Carriage of Goods by Road (CMR). ",German law,2019,,,"June 4, 2019, ICCP-CA RG n°19/03149 – Admissibility of the appeal of a judgment ruling solely on the applicable law",7,1,1,0,1,AA-7,0
15089,Claimant from Middle Eastern country A. Respondent from Middle Eastern country B. Contract relating to high-technology based services to be provided by Claimant. Contract does not contain a choice-of-law clause and provides as means of resolving disputes for ICC arbitration in London and language of the arbitration English. A dispute arose with respect to certain instances of alleged non-performance.,"In a Partial Award the Arbitral Tribunal decided that the law governing the contract shall be the UPICC, if and where necessary supplemented by the otherwise applicable law as determined in accordance with Article 17 ICC Rules. ",2008,Partial,"Paris, France",Date: 15-09-2008; Country: Arbitral award; Number: 15089; Court: ICC International Court of Arbitration 15089,52,1,1,0,1,AA-52,0
81777,"A consortium led by Claimant enlisted the services of Defendant, as agent, in connection with its bid for a gas pipeline construction contract in a South-East Asian country (State X). It was agreed that Defendant would be paid commission based on the value of the contract if awarded to Claimant. A subsequent amendment to the agreement increased the rate of the commission in the event a larger contract than originally envisaged was awarded to Claimant, which indeed happened. When implementing the project, Claimant encountered a number of problems: it could not obtain temporary import licences for its plant and construction equipment and there was argument over its obligation to abide by countertrade commitments provided by the contract. Customs duties were eventually paid and counter-trade commitments implemented. Further problems arose in connection with the welding of pipes, regulatory requirements and the discovery that the pipeline crossed over more roads, paths and water-courses than shown in the tender drawings. These problems later led Claimant to request extra payment from the project owner (O). Following negotiations, the project owner agreed to make an ex gratia payment in settlement of Claimant's request. Claimant completed the construction of the pipeline in accordance with the contractual schedule. Defendant's commission was initially paid as agreed, but a dispute arose over the extent of the services Defendant was supposed to provide under the parties' agreement. Claimant therefore suspended further payments and initiated arbitration proceedings in which it requested a reduction in the commission payable to Defendant and the reimbursement of one of the payments already made. ","The Tribunal concludes that in the absence of an explicit choice of law in the agreement of April 24, 1987, there has been no implicit choice of Swiss law, but a later explicit choice of French law. ",2001,Interim,"Lausanne, Switzerland",ICC International Court of Arbitration Bulletin Vol. 12 No. 1; 85; 2001;  Preliminary and Final Awards in Case 8177 (Extracts),6,1,1,0,1,AA-6,0
7375,"A United States seller (Defendant) and a Middle Eastern buyer (Claimant) entered into a contract for the supply of goods. The Claimant, a government agency, claimed damages and interest in connection with a delay in the delivery of the goods. The contract contained no choice of law clause. The Defendant, invoking the application of the law of Maryland as the place where the significant contractual obligations, i.e., the manufacture of the goods, had been performed, deemed the claim to be time-barred. The Claimant relied on its own domestic law under which the action would not be time-barred, and, subsidiarily, invoked the application of general principles of law.","In the Arbitral Tribunal's view the UNIDROIT Principles contain in essence a restatement of those principes directeurs that have enjoyed universal acceptance and, moreover, are at the heart of those most fundamental notions which have consistently been applied in arbitral practice.",1996,,"Paris, France","Date: 05-06-1996; Country: Arbitral award; Number: 7375; Court: ICC International Court of Arbitration, Paris 7375",53,1,1,0,1,AA-53,0
30/2008,,"In a dispute concerning an international contract that did not contain a choice of law clause, the Claimant asked the Arbitral Tribunal to apply the law of the place of execution of the contract. However, the Arbitral Tribunal concluded that the contract was connected with more than one State and, consequently, the dispute should be resolved “in accordance with the terms of the contract at dispute which the tribunal is bound to apply as the law of the parties, taking into consideration the customs of international trade, pursuant to the provisions of article 12 of the Statute of the Gulf Cooperation Council Commercial Arbitration Centre (GCCCAC) and article 29 of the Procedural Regulation in force before the Centre.""",2008,,,"M.H. Bashayreh, The Arbitration Mechanism of the Commercial Arbitration Centre for the States of the Cooperation Council for the Arab States of the Gulf, GCC Commercial Arbitration Centre, 2015, p. 204-5",8,1,0,0,1,AA-8,0
11317,"The respondent, a Brazilian company, agreed to purchase maintenance and refurbishment services from a Spanish company (first claimant), which assigned the contract to its Brazilian subsidiary (second claimant). Differences arose between the parties over the interpretation, performance and termination of the agreement.","The Arbitral Tribunal considers that Art. 17.1 of the Contract is not contrary to either Brazilian or Spanish law and is therefore applicable to the merits of the dispute.
The Arbitral Tribunal further confirms that in the application of Spanish law the mandatory rules of public policy and the principle of good faith, which are generally recognised as fundamental principles of international commercial contracts, shall be observed (cf. art. 1.4 and art. 1.7 of the UNIDROIT Principles of International Commercial Contracts)'.",2012,Partial,"Montevideo, Uruguay",ICC International Court of Arbitration Bulletin Vol. 23 No. 1; 49; 2012; Partial Award in Case 11317 (Extract),9,1,1,0,1,AA-9,0
12698,,"In a dispute the Sole Arbitrator stated with no further explanation that ""The Arbitral Tribunal will decide the merits of the dispute in accordance with the UNIDROIT Principles (""Le Tribunal Arbitral tranchera le fond du litige selon les principes UNIDROIT relatifs aux contrats du commerce international”).",2004,,"Paris, France",ICC International Court of Arbitration 12698,54,1,1,0,1,AA-54,0
10303,"A dispute arose out of a contract between a Turkish company (claimant) and a German company (respondent), requiring the respondent to supply equipment and services enabling the claimant to manufacture products in Turkey.
","The Arbitral Tribunal decided that the CISG and German law shall govern the contractual relations between the Parties. ",2008,Final,"Paris, France",ICC International Court of Arbitration Bulletin Vol. 19 No. 1; 114; 2008; Final Award in Case 10303 (Extract),55,1,1,0,1,AA-55,0
9187,"The contract concerned the sale by Defendant to Claimant of a quantity of coke supplied by a third company (X), also a signatory to the contract. The contract provided for a reduction in the purchase price in the event of discrepancy between the actual moisture, ash, sulphur, volatile and micum 40 and 10 levels and those stated in the contract. Weight and quality were to be analyzed at the loading port and recorded in a certificate of analysis binding on Claimant and Defendant. This was done by A. An inspection by B of the quality of the coke upon arrival revealed an important discrepancy as against the weight and quality analyses carried out at loading. A further inspection was carried out jointly by A and B and confirmed the findings made upon the goods' arrival. Claimant refused to accept the coke. In response, Defendant argued that it was merely the seller and not the supplier of the cargo and therefore was not responsible for quantity or quality. An independent examination of the cargo was carried out, confirming the results of the earlier joint inspection.","The general reference to Swiss law in Art. 14 of the Contract must be interpreted to mean Swiss law and any of the conventions applicable in Switzerland, including the CISG.
",2000,Final,"Zurich, Switzerland","ICC International Court of Arbitration Bulletin, Vol. 11 No. 2,  93,  2000",10,1,1,0,1,AA-10,0
